date,close,eps,revenue,symbol
3/7/2019 16:00,23.3,2.83,484.7,CSIQ
3/8/2019 16:00,23.07,2.83,484.7,CSIQ
3/11/2019 16:00,23.56,2.83,484.7,CSIQ
3/12/2019 16:00,23.63,2.83,484.7,CSIQ
3/13/2019 16:00,23.66,2.83,484.7,CSIQ
3/14/2019 16:00,23.48,2.83,484.7,CSIQ
3/15/2019 16:00,23.29,2.83,484.7,CSIQ
3/18/2019 16:00,23.33,2.83,484.7,CSIQ
3/19/2019 16:00,23.48,2.83,484.7,CSIQ
3/20/2019 16:00,23.62,2.83,484.7,CSIQ
3/21/2019 16:00,19.28,2.83,484.7,CSIQ
3/22/2019 16:00,18.75,2.83,484.7,CSIQ
3/25/2019 16:00,18.52,2.83,484.7,CSIQ
3/26/2019 16:00,18.2,2.83,484.7,CSIQ
3/27/2019 16:00,18.3,2.83,484.7,CSIQ
3/28/2019 16:00,18.78,2.83,484.7,CSIQ
3/29/2019 16:00,18.63,2.83,484.7,CSIQ
4/1/2019 16:00,19.09,2.83,1036.3,CSIQ
4/2/2019 16:00,18.99,2.83,1036.3,CSIQ
4/3/2019 16:00,19.14,2.83,1036.3,CSIQ
4/4/2019 16:00,19.14,2.83,1036.3,CSIQ
4/5/2019 16:00,19.32,2.83,1036.3,CSIQ
4/8/2019 16:00,19.45,2.83,1036.3,CSIQ
4/9/2019 16:00,18.92,2.83,1036.3,CSIQ
4/10/2019 16:00,18.81,2.83,1036.3,CSIQ
4/11/2019 16:00,18.46,2.83,1036.3,CSIQ
4/12/2019 16:00,18.82,2.83,1036.3,CSIQ
4/15/2019 16:00,18.83,2.83,1036.3,CSIQ
4/16/2019 16:00,19.12,2.83,1036.3,CSIQ
4/17/2019 16:00,19.14,2.83,1036.3,CSIQ
4/18/2019 16:00,19.01,2.83,1036.3,CSIQ
4/22/2019 16:00,19.58,2.83,1036.3,CSIQ
4/23/2019 16:00,20.26,2.83,1036.3,CSIQ
4/24/2019 16:00,20.18,2.83,1036.3,CSIQ
4/25/2019 16:00,20.06,2.83,1036.3,CSIQ
4/26/2019 16:00,20.27,2.83,1036.3,CSIQ
4/29/2019 16:00,20.03,2.83,1036.3,CSIQ
4/30/2019 16:00,19.98,2.83,1036.3,CSIQ
5/1/2019 16:00,20.63,2.83,1036.3,CSIQ
5/2/2019 16:00,20.4,2.83,1036.3,CSIQ
5/3/2019 16:00,21.45,2.83,1036.3,CSIQ
5/6/2019 16:00,20.03,2.83,1036.3,CSIQ
5/7/2019 16:00,20.14,2.83,1036.3,CSIQ
5/8/2019 16:00,19.66,2.83,1036.3,CSIQ
5/9/2019 16:00,18.87,2.83,1036.3,CSIQ
5/10/2019 16:00,19.12,2.83,1036.3,CSIQ
5/13/2019 16:00,17.83,2.83,1036.3,CSIQ
5/14/2019 16:00,17.88,2.83,1036.3,CSIQ
5/15/2019 16:00,18.12,2.83,1036.3,CSIQ
5/16/2019 16:00,18.43,2.83,1036.3,CSIQ
5/17/2019 16:00,17.51,2.83,1036.3,CSIQ
5/20/2019 16:00,17.44,2.83,1036.3,CSIQ
5/21/2019 16:00,17.94,2.83,1036.3,CSIQ
5/22/2019 16:00,17.93,2.83,1036.3,CSIQ
5/23/2019 16:00,17.38,2.83,1036.3,CSIQ
5/24/2019 16:00,17.62,2.83,1036.3,CSIQ
5/28/2019 16:00,17.77,2.83,1036.3,CSIQ
5/29/2019 16:00,17.69,2.83,1036.3,CSIQ
5/30/2019 16:00,19.41,2.83,1036.3,CSIQ
5/31/2019 16:00,19.09,2.83,1036.3,CSIQ
6/3/2019 16:00,19.86,2.83,1036.3,CSIQ
6/4/2019 16:00,20.61,2.83,1036.3,CSIQ
6/5/2019 16:00,20.86,2.83,1036.3,CSIQ
6/6/2019 16:00,21.21,2.83,1036.3,CSIQ
6/7/2019 16:00,21.32,2.83,1036.3,CSIQ
6/10/2019 16:00,21.31,2.83,1036.3,CSIQ
6/11/2019 16:00,21.13,2.83,1036.3,CSIQ
6/12/2019 16:00,21.21,2.83,1036.3,CSIQ
6/13/2019 16:00,21.74,2.83,1036.3,CSIQ
6/14/2019 16:00,21.61,2.83,1036.3,CSIQ
6/17/2019 16:00,21.29,2.83,1036.3,CSIQ
6/18/2019 16:00,21.93,2.83,1036.3,CSIQ
6/19/2019 16:00,22.36,2.83,1036.3,CSIQ
6/20/2019 16:00,21.99,2.83,1036.3,CSIQ
6/21/2019 16:00,22.07,2.83,1036.3,CSIQ
6/24/2019 16:00,22.18,2.83,1036.3,CSIQ
6/25/2019 16:00,21.27,2.83,1036.3,CSIQ
6/26/2019 16:00,21.31,2.83,1036.3,CSIQ
6/27/2019 16:00,22,2.83,1036.3,CSIQ
6/28/2019 16:00,21.83,2.83,1036.3,CSIQ
7/1/2019 16:00,22.27,2.83,759.9,CSIQ
7/2/2019 16:00,22.34,2.83,759.9,CSIQ
7/3/2019 13:00,22.12,2.83,759.9,CSIQ
7/5/2019 16:00,22.32,2.83,759.9,CSIQ
7/8/2019 16:00,21.89,2.83,759.9,CSIQ
7/9/2019 16:00,21.65,2.83,759.9,CSIQ
7/10/2019 16:00,21.21,2.83,759.9,CSIQ
7/11/2019 16:00,20.4,2.83,759.9,CSIQ
7/12/2019 16:00,20.81,2.83,759.9,CSIQ
7/15/2019 16:00,20.62,2.83,759.9,CSIQ
7/16/2019 16:00,20.62,2.83,759.9,CSIQ
7/17/2019 16:00,20.6,2.83,759.9,CSIQ
7/18/2019 16:00,20.73,2.83,759.9,CSIQ
7/19/2019 16:00,20.94,2.83,759.9,CSIQ
7/22/2019 16:00,20.87,2.83,759.9,CSIQ
7/23/2019 16:00,20.6,2.83,759.9,CSIQ
7/24/2019 16:00,20.61,2.83,759.9,CSIQ
7/25/2019 16:00,20.19,2.83,759.9,CSIQ
7/26/2019 16:00,20.41,2.83,759.9,CSIQ
7/29/2019 16:00,20.72,2.83,759.9,CSIQ
7/30/2019 16:00,21.18,2.83,759.9,CSIQ
7/31/2019 16:00,21.32,2.83,759.9,CSIQ
8/1/2019 16:00,22.23,2.83,759.9,CSIQ
8/2/2019 16:00,21.8,2.83,759.9,CSIQ
8/5/2019 16:00,20.52,2.83,759.9,CSIQ
8/6/2019 16:00,20.92,2.83,759.9,CSIQ
8/7/2019 16:00,21.74,2.83,759.9,CSIQ
8/8/2019 16:00,22.26,2.83,759.9,CSIQ
8/9/2019 16:00,21.86,2.83,759.9,CSIQ
8/12/2019 16:00,21.28,2.83,759.9,CSIQ
8/13/2019 16:00,21.86,2.83,759.9,CSIQ
8/14/2019 16:00,20.6,2.83,759.9,CSIQ
8/15/2019 16:00,23.08,2.83,759.9,CSIQ
8/16/2019 16:00,23.39,2.83,759.9,CSIQ
8/19/2019 16:00,24.36,2.83,759.9,CSIQ
8/20/2019 16:00,24.03,2.83,759.9,CSIQ
8/21/2019 16:00,24.5,2.83,759.9,CSIQ
8/22/2019 16:00,23.77,2.83,759.9,CSIQ
8/23/2019 16:00,22.74,2.83,759.9,CSIQ
8/26/2019 16:00,23.09,2.83,759.9,CSIQ
8/27/2019 16:00,22.56,2.83,759.9,CSIQ
8/28/2019 16:00,23.14,2.83,759.9,CSIQ
8/29/2019 16:00,23.29,2.83,759.9,CSIQ
8/30/2019 16:00,23.39,2.83,759.9,CSIQ
9/3/2019 16:00,23.17,2.83,759.9,CSIQ
9/4/2019 16:00,23.27,2.83,759.9,CSIQ
9/5/2019 16:00,23.06,2.83,759.9,CSIQ
9/6/2019 16:00,22.72,2.83,759.9,CSIQ
9/9/2019 16:00,21.41,2.83,759.9,CSIQ
9/10/2019 16:00,21.2,2.83,759.9,CSIQ
9/11/2019 16:00,21.2,2.83,759.9,CSIQ
9/12/2019 16:00,21.16,2.83,759.9,CSIQ
9/13/2019 16:00,21.31,2.83,759.9,CSIQ
9/16/2019 16:00,21.46,2.83,759.9,CSIQ
9/17/2019 16:00,21.91,2.83,759.9,CSIQ
9/18/2019 16:00,21.69,2.83,759.9,CSIQ
9/19/2019 16:00,22.07,2.83,759.9,CSIQ
9/20/2019 16:00,22.16,2.83,759.9,CSIQ
9/23/2019 16:00,22.67,2.83,759.9,CSIQ
9/24/2019 16:00,21.26,2.83,759.9,CSIQ
9/25/2019 16:00,21.4,2.83,759.9,CSIQ
